"Company","Assets","Earnings_per_share","Employees","Market_Value","Profits","Revenues","Stockholders_Equity","Total_Return_to_Investors_1997"
"General_Electric","304012","2.46","276000","260147.17","8203","90840","34438","51.09"
"Ford_Motor","279097","5.62","363892","73923","6920","153627","30734","57.01"
"General_Motors","228888","8.62","608000","54243.84","6698","178174","17506","19.47"
"Exxon","96064","3.37","80000","158783.63","8460","122379","43660","28.33"
"Citicorp","310897","7.33","93700","66105.35","3591","34697","21196","24.85"
"Chase_Manhattan_Corp.","365521","8.03","69033","58150.63","3708","30381","21742","25.44"
"Travelers_Group","386555","2.54","67250","69419.71","3104","37609","20893","79.83"
"Intl._Business_Machines","81499","6.01","269465","98321.88","6093","78508","19816","39.64"
"State_Farm_Insurance","103626.18","0","72655","0","3833.27","43956.97","37635.38","0"
"American_International_Group","163970.69","4.73","40000","87964.42","3332.34","30519.51","24001.13","51.13"
"Fannie_Mae","391672.7","2.83","3500","67592.92","3055.8","27776.9","13793","54.52"
"AT&T","58635","2.84","128000","105878.74","4638","53261","22647","46.16"
"Philip_Morris","55947","2.58","152000","102931.62","6310","56114","14920","25.01"
"Morgan_Stanley","302287","4.25","47277","46842.41","2586","27132","13956","81.35"
"Merrill_Lynch","292819","4.83","56600","29152.16","1906","31731","8329","81.35"
"Bank_America_Corp.","260159","4.32","77000","57839.78","3210","23585","19837","49.02"
"Wal-Mart_Stores","45525","1.56","825000","113730.75","3526","119299","18502","74.82"
"Chrysler","60418","4.09","121000","28368.8","2805","61147","11362","11.74"
"NationsBank_Corp.","264562","4.17","80360","68437.13","3077","21734","21337","27.28"
"Mobil","43559","4.01","42700","58409.56","3272","59978","19461","21.65"
"Allstate","80918","7.11","51400","40657.12","3105","24949","15610","57.98"
"TIAA-CREF","214295.59","0","4824","0","1226.61","29348.39","5776.57","0"
"DuPont_de_Nemours","42942","2.08","98396","77018.92","2405","41304","11270","30.28"
"Bell_Atlantic","53964.1","3.13","141000","77650","2454.9","30193.9","12789.1","46.47"
"Chevron","35473","4.95","39362","54852.25","3256","36376","17472","22.11"
"Metropolitan_Life_Insurance","201907","0","44979","0","1203","24374","14007","0"
"Hewlett-Packard","31749","2.95","121900","65059.99","3119","42895","16155","25.26"
"American_Express","120003","4.15","74000","45269.95","1991","17760","9574","59.93"
"J.P._Morgan","262159","7.17","16943","23450.26","1465","17701","11404","19.49"
"Amoco","32489","5.52","43451","41328.74","2720","32836","16319","8.88"
"Texaco","29600","4.87","29313","31576.64","2664","45187","12766","14.35"
"Intel","28880","3.87","64000","125741","6945","25070","19295","7.45"
"Procter_Gamble","27544","2.43","106000","113634.83","3415","35764","12046","50.41"
"GTE","42141.69","2.9","114359","54186.88","2793.57","23260.01","8037.63","20"
"BellSouth","36301","3.28","81000","61132","3261","20561","15165","43.47"
"Sears_Roebuck","38700","2.99","296000","22573.78","1188","41296","5862","0.15"
"First_Union_Corp.","157274","2.99","43933","35836.94","1896","14329","12032","42.13"
"Cigna","108199","14.64","47700","14737.65","1086","20038","7932","28.77"
"SBC_Communications","42132","0.8","118340","75223.75","1474","24856","9892","45.58"
"Merck","25811.9","3.74","53800","156964.71","4614.1","23636.9","12613.5","35.59"
"Federal_Home_Loan_Mortgage","194597","1.88","3200","33447.1","1395","14399","7521","53.41"
"Walt_Disney","37776","2.86","108000","72754.07","1966","22473","17285","42.82"
"Prudential_Ins._Co._of_America","259482","0","79000","0","610","37073","19718","0"
"Hartford_Financial_Services","131743","11.16","25000","12498.11","1332","13305","6085","41.56"
"Aetna","96000.6","5.6","40300","12419.9","901.1","18540.2","11195.4","-11"
"Banc_One_Corp.","115901.3","2.19","56600","39868.95","1305.7","13219.1","10376","30.41"
"Lockheed_Martin","28361","-3.12","173000","22465.35","1300","28069","5176","8.99"
"Johnson_Johnson","21453","2.41","90500","100630.56","3303","22629","12359","34.26"
"Motorola","27278","1.94","150000","32601.31","1180","29794","13272","-5.99"
"PepsiCo","20101","1.36","136000","63351.49","2142","29292","6936","36.05"
