"carmodel","engine","fuelcons","power","price","speed"
"Ford Mondeo LX",1989,11.3,144,22170,214
"Ford Galaxy LX",2792,14.8,201,27516,219
"Ford Fiesta 1.25i",1242,8.7,74,15232,167
"Ford Ka 1.3 HCS EFi",1299,8.3,59,13085,155
"Opel Astra 1.6",1598,11.5,63,18105,178
"Opel Vectra 2.0",1998,13.9,136,19946,212
"Opel Omega MV6",2962,16.8,211,22999,238
"Volkswagen Golf GLS 2.0",1984,11.9,115,16350,195
"Volkswagen Passat GLX",2771,13.7,190,28750,227
"Volkswagen Beetle 2.0L",1984,9.8,115,20243,177
"Daewoo Leganza SX",1998,10.2,133,12545,206
"Daewoo Cielo GLE",1498,10.5,80,6860,170
"Daewoo Nubira CDS",1598,11.3,78,9222,185
"Daewoo Matiz SE",796,7.4,51,4792,144
"Mercedes M-Class ML320",3199,18.2,233,33950,182
"Volvo V70 2.3L",2319,11.2,247,43422,222
"BMW 3-series 330i",2979,11.8,225,40664,206
"Renault Clio RXE",1390,8.8,98,12542,186
"Renault Megane",2965,9.2,250,17370,260
"Renault Scenic Rx4",1998,7.4,140,22000,196
"Fiat Punto 75",1242,7.8,73,14370,170
"Fiat Bravo SX-GT",1581,10.6,103,15830,184
"Fiat Multipla 1.6 ELX",1581,9.4,103,18870,170
"Dacia Nova GTi",1557,9.6,72,5000,161
"Dacia SupeRNova Confort",1390,8.3,74,3798,162
"Mercedes C-Class C320",3199,12.4,215,55150,209
"Mercedes CL-Class CL500",4966,15.7,302,66440,249
"Mercedes E-Class E320",3199,11.1,221,73250,209
"Mercedes S-Class S500",4966,19.4,302,85250,204
"Volvo C70 2.3L",2319,11.2,247,50700,249
"BMW 5-series 540i",4398,13.1,282,58985,249
"BMW 7-series 740i",5379,18.1,326,62900,206
